state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,date_export,geo_level,version,suggested_citation
IL,17,31,Cook County,71000,17031071000,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.1,77.7,84.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71100,17031071100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.5,76.3,84.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71200,17031071200,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.6,75.7,87.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71300,17031071300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,84.6,80.6,88.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71400,17031071400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.1,77.7,82.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71500,17031071500,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,81.2,76.5,85.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71600,17031071600,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.3,75.9,84.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71700,17031071700,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,82.3,78.2,86.4,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,71800,17031071800,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.3,75.1,85.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,80100,17031080100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,86.5,83.4,89.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,80201,17031080201,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,80202,17031080202,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.3,77.5,83.1,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,80300,17031080300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.7,76.9,84.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,80400,17031080400,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,NA,NA,NA,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81000,17031081000,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,79.3,76.2,82.4,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81100,17031081100,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,77.6,74.8,80.4,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81201,17031081201,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,85.4,81.3,89.5,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81202,17031081202,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,90,85.1,94.9,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81300,17031081300,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,85.6,82.6,88.6,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81401,17031081401,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.7,78.7,82.7,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
IL,17,31,Cook County,81402,17031081402,1714000,Chicago,Life expectancy,37,total population,1,-999,-999,80.7,77.4,84,"2010-2015, 6 Year Modeled Estimate",22/10/21,tract,13,
