Layer,Name,GEOID,HDX_2015-2019,HDX_2015-2019_moe
Census tract,Tract 4112,17031411200,7.2,
Census tract,Tract 4201,17031420100,93.5,
Census tract,Tract 4202,17031420200,77.6,
Census tract,Tract 4203,17031420300,81.0,
Census tract,Tract 4204,17031420400,90.1,
Census tract,Tract 4205,17031420500,94.5,
Census tract,Tract 4206,17031420600,96.4,
Census tract,Tract 4207,17031420700,98.9,
Census tract,Tract 4208,17031420800,80.7,
Census tract,Tract 4212,17031421200,92.1,
Census tract,Tract 4301.01,17031430101,80.3,
Census tract,Tract 4301.02,17031430102,59.5,
Census tract,Tract 4302,17031430200,87.1,
Census tract,Tract 4303,17031430300,96.4,
Census tract,Tract 4304,17031430400,85.3,
Census tract,Tract 4305,17031430500,96.3,
Census tract,Tract 4306,17031430600,92.4,
Census tract,Tract 4307,17031430700,80.5,
Census tract,Tract 4308,17031430800,63.5,
Census tract,Tract 4309,17031430900,80.8,
Census tract,Tract 4312,17031431200,55.6,
Census tract,Tract 4313.01,17031431301,87.6,
Census tract,Tract 4313.02,17031431302,94.8,
Census tract,Tract 4314,17031431400,87.0,
Census tract,Tract 4401.01,17031440101,96.0,
Census tract,Tract 4401.02,17031440102,70.2,
Census tract,Tract 4402.01,17031440201,76.2,
Census tract,Tract 4402.02,17031440202,78.2,
Census tract,Tract 4403,17031440300,70.4,
Census tract,Tract 4406,17031440600,61.0,
Census tract,Tract 4407,17031440700,76.1,
Census tract,Tract 4408,17031440800,95.0,
Census tract,Tract 4409,17031440900,80.3,
Census tract,Tract 4503,17031450300,75.2,
Census tract,Tract 4601,17031460100,92.9,
Census tract,Tract 4602,17031460200,91.3,
Census tract,Tract 4603.01,17031460301,93.9,
Census tract,Tract 4603.02,17031460302,93.9,
Census tract,Tract 4604,17031460400,70.3,
Census tract,Tract 4605,17031460500,43.1,
Census tract,Tract 4606,17031460600,92.8,
Census tract,Tract 4607,17031460700,98.7,
Census tract,Tract 4610,17031461000,92.6,
Census tract,Tract 4701,17031470100,84.4,
Census tract,Tract 4801,17031480100,51.0,
Census tract,Tract 4802,17031480200,69.3,
Census tract,Tract 4803,17031480300,36.6,
Census tract,Tract 4804,17031480400,53.2,
Census tract,Tract 4805,17031480500,78.6,
Census tract,Tract 4903,17031490300,73.5,
Census tract,Tract 4904,17031490400,32.0,
Census tract,Tract 4905,17031490500,84.5,
Census tract,Tract 4906,17031490600,81.4,
Census tract,Tract 4907,17031490700,84.3,
Census tract,Tract 4908,17031490800,84.2,
Census tract,Tract 4909.01,17031490901,86.7,
Census tract,Tract 4909.02,17031490902,71.5,
Census tract,Tract 4910,17031491000,98.4,
Census tract,Tract 4911,17031491100,80.2,
Census tract,Tract 4912,17031491200,86.1,
Census tract,Tract 4913,17031491300,93.9,
Census tract,Tract 4914,17031491400,98.5,
Census tract,Tract 5001,17031500100,39.6,
Census tract,Tract 5002,17031500200,94.6,
Census tract,Tract 5003,17031500300,72.8,
Census tract,Tract 5101,17031510100,93.0,
Census tract,Tract 5102,17031510200,91.8,
Census tract,Tract 5103,17031510300,93.2,
Census tract,Tract 5201,17031520100,83.6,
Census tract,Tract 5202,17031520200,93.8,
Census tract,Tract 5203,17031520300,93.1,
Census tract,Tract 5204,17031520400,80.6,
Census tract,Tract 5205,17031520500,69.8,
Census tract,Tract 5206,17031520600,86.8,
Census tract,Tract 5301,17031530100,94.6,
Census tract,Tract 5302,17031530200,94.4,
Census tract,Tract 5303,17031530300,80.8,
Census tract,Tract 5304,17031530400,74.1,
Census tract,Tract 5305.01,17031530501,76.6,
Census tract,Tract 5305.02,17031530502,72.9,
Census tract,Tract 5305.03,17031530503,91.3,
Census tract,Tract 5306,17031530600,73.9,
Census tract,Tract 5401.01,17031540101,98.3,
Census tract,Tract 5401.02,17031540102,99.2,
Census tract,Tract 5501,17031550100,72.9,
Census tract,Tract 5502,17031550200,44.2,
Census tract,Tract 5601,17031560100,85.2,
Census tract,Tract 5602,17031560200,92.1,
Census tract,Tract 5603,17031560300,82.7,
Census tract,Tract 5604,17031560400,90.9,
Census tract,Tract 5607,17031560700,80.6,
Census tract,Tract 5608,17031560800,60.1,
Census tract,Tract 5609,17031560900,30.7,
Census tract,Tract 5610,17031561000,28.4,
Census tract,Tract 5611,17031561100,52.3,
Census tract,Tract 5701,17031570100,85.0,
Census tract,Tract 5702,17031570200,81.2,
Census tract,Tract 5703,17031570300,91.8,
Census tract,Tract 5704,17031570400,82.4,
Census tract,Tract 5705,17031570500,84.5,
Census tract,Tract 5801,17031580100,82.8,
Census tract,Tract 5802,17031580200,94.5,
Census tract,Tract 5803,17031580300,87.2,
Census tract,Tract 5804,17031580400,80.6,
Census tract,Tract 5805.01,17031580501,94.5,
Census tract,Tract 5805.02,17031580502,89.9,
Census tract,Tract 5806,17031580600,90.8,
Census tract,Tract 5807,17031580700,93.2,
Census tract,Tract 5808,17031580800,96.7,
Census tract,Tract 5905,17031590500,75.6,
Census tract,Tract 5906,17031590600,75.0,
Census tract,Tract 5907,17031590700,88.2,
Census tract,Tract 6004,17031600400,78.0,
Census tract,Tract 6006,17031600600,80.2,
Census tract,Tract 6007,17031600700,68.5,
Census tract,Tract 6009,17031600900,41.6,
Census tract,Tract 6103,17031610300,95.6,
Census tract,Tract 6104,17031610400,95.7,
Census tract,Tract 6108,17031610800,60.1,
Census tract,Tract 6110,17031611000,95.8,
Census tract,Tract 6111,17031611100,94.0,
Census tract,Tract 6112,17031611200,92.0,
Census tract,Tract 6113,17031611300,94.1,
